"datetime","date","account_type","category","type","asset_class","name","symbol","shares","price","amount","fee","tax","currency","original_amount","original_currency","fx_rate","description","transaction_id","counterparty_name","counterparty_iban","payment_reference","mcc_code"
"2026-06-30T23:55:41.595944Z","2026-07-01","DEFAULT","CASH","BENEFITS_SAVEBACK","FUND","Core MSCI World USD (Acc)","IE00B4L5Y983","","","2.130000","","-0.40","EUR","","",""," Saveback cash reward 4f222cd1-e73e-43a0-a2ec-ce8bb48009f4 for reservation: 1a760c29-4c04-4535-b91d-cfca75d193ff","019f1af5-c29b-7490-9339-feb860ec1bf7","","","",""
"2026-07-01T06:38:24.838036Z","2026-07-01","DEFAULT","CASH","INTEREST_PAYMENT","","","","","","37.390000","","-7.10","EUR","","","","Interest payment for payout collection 019f1bdf-db02-791e-b74d-f1b6f6a18b06","019f1c66-7646-7274-bc54-b67f16b5742b","","","",""
"2026-07-02T15:20:13.933Z","2026-07-02","DEFAULT","TRADING","BUY","FUND","Core MSCI World USD (Acc)","IE00B4L5Y983","0.0137610000","125.7147000000","-1.73","","","EUR","","","","Savings plan execution IE00B4L5Y983 iShares III plc - iShares Core MSCI World UCITS ETF USD (Acc), quantity: 0.013761","4fc70202-93b1-4d29-94a7-a24061f71ffc","","","",""
"2026-07-02T15:20:18.180350Z","2026-07-02","DEFAULT","CASH","CARD_TRANSACTION","","CARLûS JR NASSICA","","","","-17.350000","","","EUR","","","","CARLS JR NASSICA","019f236a-a004-7817-99cb-e0d9f5a0cc23","","","","5812"
"2026-07-02T15:54:57.315062Z","2026-07-02","DEFAULT","CASH","CARD_TRANSACTION","","ORO VIVO GETAFE","","","","-35.000000","","","EUR","","","","ORO VIVO GETAFE","019f238a-59a3-7690-a86c-31a9613954cc","","","","5944"
"2026-07-04T15:58:45.585194Z","2026-07-04","DEFAULT","CASH","CARD_TRANSACTION","","LA BROCHETA GOURMET","","","","-31.800000","","","EUR","","","","LA BROCHETA GOURMET","019f2dda-8d51-7355-9f6a-6a4526021dd6","","","","5812"
"2026-07-05T09:27:07.401154Z","2026-07-05","DEFAULT","CASH","CARD_TRANSACTION","","GRUPO AHORRAMAS 1138","","","","-1.140000","","","EUR","","","","GRUPO AHORRAMAS 1138","019f319a-5b89-7f71-b701-43e467605484","","","","5411"
"2026-07-05T09:26:17.567703Z","2026-07-05","DEFAULT","CASH","CARD_TRANSACTION","","GRUPO AHORRAMAS 1138","","","","-15.330000","","","EUR","","","","GRUPO AHORRAMAS 1138","019f3199-98df-7b1b-b022-ca2fd00577df","","","","5411"
"2026-07-06T10:41:28.786729Z","2026-07-06","DEFAULT","CASH","CARD_TRANSACTION","","PIZZERIA CARLOS","","","","-25.900000","","","EUR","","","","PIZZERIA CARLOS","019f3704-cad2-7280-98a0-d74efe6e041a","","","","5812"
"2026-07-06T12:40:55.613041Z","2026-07-06","DEFAULT","CASH","CARD_TRANSACTION","","EL POLLO RICO","","","","-24.800000","","","EUR","","","","EL POLLO RICO","019f3772-263d-7741-8df1-d2337eda6f3f","","","","5814"
"2026-07-07T15:31:56.366944Z","2026-07-07","DEFAULT","CASH","CARD_TRANSACTION","","BERSHKA","","","","-18.980000","","","EUR","","","","BERSHKA","019f3d35-134e-7b53-9e64-ef11d99dd90e","","","","5651"
"2026-07-07T15:36:12.807392Z","2026-07-07","DEFAULT","CASH","CARD_TRANSACTION","","GASTRO SUSHI","","","","-39.300000","","","EUR","","","","GASTRO SUSHI","019f3d38-fd07-7e30-b1b1-7ed484406f8f","","","","5812"
"2026-07-07T15:31:02.362978Z","2026-07-07","DEFAULT","CASH","CARD_TRANSACTION","","ZARA CC.PARQUESUR LOC.5.9","","","","-80.940000","","","EUR","","","","ZARA CC.PARQUESUR LOC.5.9","019f3d34-405a-7cca-9b03-be08dd498243","","","","5651"
